timestamp,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz,L_punch_cnt,R_punch_cnt,label,activity_label
36175,-0.02,1.97,0.09,0.253,0.34,-0.393,-0.68,0.82,0.52,-0.067,-0.048,0.03,0,0,UNKNOWN,0
36190,-0.02,1.97,0.09,0.253,0.34,-0.393,-0.95,1.17,0.41,-0.038,-0.019,-0.011,0,0,UNKNOWN,0
36205,-0.02,1.97,0.09,0.253,0.34,-0.393,-0.81,1.2,0.84,0.047,0.045,0.009,0,0,UNKNOWN,0
36220,-0.02,1.97,0.09,0.253,0.34,-0.393,-0.71,1,0.24,0.032,-0.011,-0.009,0,0,UNKNOWN,0
36235,-0.02,1.97,0.09,0.253,0.34,-0.393,-0.96,1.01,0.51,-0.035,-0.004,0.011,0,0,UNKNOWN,0
36250,-0.02,1.97,0.09,0.253,0.34,-0.393,-0.69,1.16,0.71,-0.013,0.003,0.011,0,0,UNKNOWN,0
36265,-0.02,1.97,0.09,0.253,0.34,-0.393,-0.91,1.09,0.45,0.024,-0.01,-0.012,0,0,UNKNOWN,0
36280,-0.07,1.92,0,0.261,0.335,-0.396,-0.81,1.09,0.45,-0.004,0.018,0.025,0,0,UNKNOWN,0
36295,-0.07,1.92,0,0.261,0.335,-0.396,-0.69,1,0.6,-0.012,-0.012,-0.008,0,0,UNKNOWN,0
36310,-0.07,1.92,0,0.261,0.335,-0.396,-0.88,1.06,0.47,-0.011,-0.025,0.001,0,0,UNKNOWN,0
36325,-0.07,1.92,0,0.261,0.335,-0.396,-0.81,1.15,0.48,-0.012,-0.007,-0.012,0,0,UNKNOWN,0
36340,-0.07,1.92,0,0.261,0.335,-0.396,-0.77,0.96,0.56,-0.057,-0.049,-0.002,0,0,UNKNOWN,0
36355,-0.07,1.92,0,0.261,0.335,-0.396,-0.87,1.17,0.49,-0.059,-0.047,-0.014,0,0,UNKNOWN,0
36370,0,1.96,0.12,0.257,0.335,-0.4,-0.88,1.17,0.59,-0.013,-0.009,-0.002,0,0,UNKNOWN,0
36385,0,1.96,0.12,0.257,0.335,-0.4,-0.86,1.1,0.56,0.078,0.06,0.023,0,0,UNKNOWN,0
36400,0,1.96,0.12,0.257,0.335,-0.4,-0.83,1.22,0.62,0.1,0.079,-0.014,0,0,UNKNOWN,0
36415,0,1.96,0.12,0.257,0.335,-0.4,-0.76,0.98,0.43,0.091,0.05,0.001,0,0,UNKNOWN,0
36430,0,1.96,0.12,0.257,0.335,-0.4,-0.86,1.14,0.44,0.075,0.059,-0.002,0,0,UNKNOWN,0
36445,0,1.96,0.12,0.257,0.335,-0.4,-0.77,1.04,0.61,0.084,0.073,0.001,0,0,UNKNOWN,0
36460,0,1.96,0.12,0.257,0.335,-0.4,-0.74,1.02,0.45,0.094,0.058,-0.01,0,0,UNKNOWN,0
36475,0,1.96,0.12,0.257,0.335,-0.4,-0.81,1.01,0.39,0.073,0.049,-0.007,0,0,UNKNOWN,0
36490,0.04,1.95,0.06,0.203,0.361,-0.347,-0.78,1.07,0.58,0.056,0.051,0.002,0,0,UNKNOWN,0
36505,0.04,1.95,0.06,0.203,0.361,-0.347,-0.73,1.02,0.55,0.062,0.037,-0.002,0,0,UNKNOWN,0
36520,0.04,1.95,0.06,0.203,0.361,-0.347,-0.8,1.02,0.41,0.061,0.034,-0.001,0,0,UNKNOWN,0
36535,0.04,1.95,0.06,0.203,0.361,-0.347,-0.77,0.97,0.45,0.04,0.034,0,0,0,UNKNOWN,0
36550,0.04,1.95,0.06,0.203,0.361,-0.347,-0.75,1.01,0.54,0.026,0.021,-0.001,0,0,UNKNOWN,0
36565,0.04,1.95,0.06,0.203,0.361,-0.347,-0.75,0.99,0.47,0.026,0.015,0.005,0,0,UNKNOWN,0
36580,0.04,1.95,0.06,0.203,0.361,-0.347,-0.79,1.01,0.42,0.006,0.009,0.014,0,0,UNKNOWN,0
36595,0.04,1.95,0.06,0.203,0.361,-0.347,-0.77,0.97,0.51,0.014,0.032,0.01,0,0,UNKNOWN,0
36610,0,1.9,0.01,0.245,0.339,-0.378,-0.69,1.01,0.52,0.039,0.021,0.007,0,0,UNKNOWN,0
36625,0,1.9,0.01,0.245,0.339,-0.378,-0.78,0.98,0.32,0.025,-0.006,0,0,0,UNKNOWN,0
36640,0,1.9,0.01,0.245,0.339,-0.378,-0.75,0.94,0.44,-0.006,0.005,0.009,0,0,UNKNOWN,0
36655,0,1.9,0.01,0.245,0.339,-0.378,-0.7,0.98,0.59,-0.009,-0.005,-0.004,0,0,UNKNOWN,0
36670,0,1.9,0.01,0.245,0.339,-0.378,-0.8,1.11,0.45,0.012,-0.01,-0.001,0,0,UNKNOWN,0
36685,0,1.9,0.01,0.245,0.339,-0.378,-0.78,0.99,0.31,0.006,0.011,-0.001,0,0,UNKNOWN,0
36700,0,1.9,0.01,0.245,0.339,-0.378,-0.71,1.01,0.64,0.02,0.025,0.001,0,0,UNKNOWN,0
36715,0,1.9,0.01,0.245,0.339,-0.378,-0.71,0.98,0.46,0.038,-0.002,0.001,0,0,UNKNOWN,0
36730,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.88,1.04,0.22,0.002,-0.001,0.007,0,0,UNKNOWN,0
36745,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.66,1.03,0.6,-0.004,0.03,0.018,0,0,UNKNOWN,0
36760,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.73,1.02,0.59,0.025,-0.004,0,0,0,UNKNOWN,0
36775,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.82,1,0.35,0.017,0.009,0.009,0,0,UNKNOWN,0
36790,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.65,1.03,0.49,-0.002,0.017,0.02,0,0,UNKNOWN,0
36805,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.7,0.92,0.52,-0.032,-0.026,0.021,0,0,UNKNOWN,0
36820,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.74,0.95,0.43,-0.069,-0.045,0.023,0,0,UNKNOWN,0
36835,0.04,2.02,-0.02,0.094,0.359,-0.291,-0.64,0.82,0.49,-0.109,-0.069,0.018,0,0,UNKNOWN,0
36850,-0.08,1.91,-0.03,0.262,0.336,-0.388,-0.81,1.33,0.71,-0.119,-0.085,0.026,0,0,UNKNOWN,0
36866,-0.08,1.91,-0.03,0.262,0.336,-0.388,-0.69,0.67,0.54,-0.159,-0.096,-0.004,0,0,UNKNOWN,0
36881,-0.08,1.91,-0.03,0.262,0.336,-0.388,-0.79,1.18,0.43,-0.202,-0.101,-0.043,0,0,UNKNOWN,0
36896,-0.08,1.91,-0.03,0.262,0.336,-0.388,-0.83,1.24,0.48,-0.195,-0.109,0.016,0,0,UNKNOWN,0
36911,-0.08,1.91,-0.03,0.262,0.336,-0.388,-0.78,0.98,0.69,-0.164,-0.126,-0.012,0,0,UNKNOWN,0
36926,-0.08,1.91,-0.03,0.262,0.336,-0.388,-0.84,1.11,0.6,-0.17,-0.147,-0.039,0,0,UNKNOWN,0
36941,-0.13,1.8,-0.09,0.286,0.34,-0.401,-0.83,1.13,0.53,-0.213,-0.167,-0.005,0,0,UNKNOWN,0
36956,-0.13,1.8,-0.09,0.286,0.34,-0.401,-0.75,1.02,0.6,-0.313,-0.247,-0.037,0,0,UNKNOWN,0
36971,-0.13,1.8,-0.09,0.286,0.34,-0.401,-0.79,1.06,0.67,-0.408,-0.337,-0.027,0,0,UNKNOWN,0
36986,-0.13,1.8,-0.09,0.286,0.34,-0.401,-0.86,1.09,0.66,-0.462,-0.374,0.001,0,0,UNKNOWN,0
37001,-0.13,1.8,-0.09,0.286,0.34,-0.401,-0.84,1.08,0.55,-0.513,-0.455,0.028,0,0,UNKNOWN,0
37016,-0.13,1.8,-0.09,0.286,0.34,-0.401,-1.08,1.4,0.53,-0.602,-0.444,-0.088,0,0,UNKNOWN,0
37046,-0.13,1.8,-0.09,0.286,0.34,-0.401,-2.2,1.9,1.02,0.497,0.399,-0.11,0,0,UNKNOWN,0
37061,-0.01,1.96,0.12,0.255,0.333,-0.408,-1.02,1.73,1.01,0.481,0.257,-0.047,0,0,UNKNOWN,0
37076,-0.01,1.96,0.12,0.255,0.333,-0.408,-0.54,0.76,-0.03,-0.04,-0.13,-0.027,0,0,UNKNOWN,0
37106,-0.01,1.96,0.12,0.255,0.333,-0.408,-1.61,1.89,1.53,-0.21,-0.031,0.056,0,0,UNKNOWN,0
37121,-0.01,1.96,0.12,0.255,0.333,-0.408,-1,1.75,1.4,0.076,0.056,0.018,0,0,UNKNOWN,0
37136,-0.01,1.96,0.12,0.255,0.333,-0.408,-1.01,1.29,0.46,0.144,0.003,-0.04,0,0,UNKNOWN,0
37151,-0.01,1.96,0.12,0.255,0.333,-0.408,-1.43,1.52,0.44,0.001,0.031,-0.004,0,0,UNKNOWN,0
37166,-0.01,1.96,0.12,0.255,0.333,-0.408,-1.03,1.58,1.09,0,0.043,0.018,0,0,UNKNOWN,0
37181,-0.01,1.93,0.01,0.249,0.339,-0.38,-1.09,1.44,0.86,0.049,-0.015,-0.017,0,0,UNKNOWN,0
37196,-0.01,1.93,0.01,0.249,0.339,-0.38,-1.3,1.45,0.57,-0.001,0.007,0.008,0,0,UNKNOWN,0
37211,-0.01,1.93,0.01,0.249,0.339,-0.38,-1.09,1.5,0.87,-0.025,0.009,0.014,0,0,UNKNOWN,0
37226,-0.01,1.93,0.01,0.249,0.339,-0.38,-1.18,1.46,0.81,0.014,-0.011,-0.007,0,0,UNKNOWN,0
37241,-0.01,1.93,0.01,0.249,0.339,-0.38,-1.16,1.47,0.74,0.012,0.014,0.002,0,0,UNKNOWN,0
37256,-0.01,1.93,0.01,0.249,0.339,-0.38,-1.12,1.5,0.84,0.008,0.008,-0.003,0,0,UNKNOWN,0
37271,-0.01,1.93,0.01,0.249,0.339,-0.38,-1.2,1.53,0.75,0.024,0.006,-0.003,0,0,UNKNOWN,0
37302,0,1.94,0.08,0.256,0.336,-0.396,-1.14,1.5,0.8,0.002,0.003,0.003,0,0,UNKNOWN,0
37317,0,1.94,0.08,0.256,0.336,-0.396,-1.16,1.48,0.74,0.009,0.002,0.001,0,0,UNKNOWN,0
37332,0,1.94,0.08,0.256,0.336,-0.396,-1.18,1.47,0.8,0.005,0.006,0.002,0,0,UNKNOWN,0
37347,0,1.94,0.08,0.256,0.336,-0.396,-1.15,1.47,0.81,0.012,0.008,0.001,0,0,UNKNOWN,0
37362,0,1.94,0.08,0.256,0.336,-0.396,-1.17,1.51,0.77,0.011,0.003,-0.003,0,0,UNKNOWN,0
37377,0,1.94,0.08,0.256,0.336,-0.396,-1.17,1.49,0.8,0.007,0.007,0,0,0,UNKNOWN,0
37392,0,1.94,0.08,0.256,0.336,-0.396,-1.15,1.49,0.78,0.007,0.004,0.002,0,0,UNKNOWN,0
37407,0,1.94,0.08,0.256,0.336,-0.396,-1.15,1.47,0.79,0.007,0.002,0.001,0,0,UNKNOWN,0
37467,-0.03,1.94,0.12,0.253,0.337,-0.392,-1.18,1.5,0.8,0.007,0.005,0.001,0,0,UNKNOWN,0
37482,-0.03,1.94,0.12,0.253,0.337,-0.392,-1.15,1.48,0.76,0.007,0.006,0.003,0,0,UNKNOWN,0
37527,0,1.97,0.1,0.259,0.337,-0.392,-1.14,1.51,0.8,0.009,0.008,0.001,0,0,UNKNOWN,0
37542,0,1.97,0.1,0.259,0.337,-0.392,-1.17,1.46,0.77,0.01,0.005,0,0,0,UNKNOWN,0
37587,0,1.97,0.1,0.259,0.337,-0.392,-1.13,1.48,0.76,0.012,0.003,-0.003,0,0,UNKNOWN,0
37602,0,1.97,0.1,0.259,0.337,-0.392,-1.18,1.47,0.71,0.008,0.004,-0.002,0,0,UNKNOWN,0
37647,-0.02,1.95,0.04,0.26,0.337,-0.393,-1.2,1.49,0.73,0.01,0.005,0.001,0,0,UNKNOWN,0
37662,-0.02,1.95,0.04,0.26,0.337,-0.393,-1.13,1.51,0.8,0.002,0.006,0.002,0,0,UNKNOWN,0
37707,-0.02,1.95,0.04,0.26,0.337,-0.393,-1.16,1.49,0.77,0.008,0.006,0.003,0,0,UNKNOWN,0
37723,-0.02,1.95,0.04,0.26,0.337,-0.393,-1.15,1.47,0.75,0.01,0.005,-0.001,0,0,UNKNOWN,0
37768,-0.01,1.99,0.08,0.254,0.339,-0.392,-1.14,1.5,0.79,0.009,0.005,0,0,0,UNKNOWN,0
37784,-0.01,1.99,0.08,0.254,0.339,-0.392,-1.13,1.47,0.8,0.005,0.005,0.002,0,0,UNKNOWN,0
37829,-0.01,1.99,0.08,0.254,0.339,-0.392,-1.14,1.49,0.75,0.007,0.008,0.002,0,0,UNKNOWN,0
37844,-0.01,1.99,0.08,0.254,0.339,-0.392,-1.15,1.5,0.8,0.007,0.003,-0.001,0,0,UNKNOWN,0
37889,-0.01,1.97,0.07,0.259,0.336,-0.394,-1.15,1.49,0.76,0.005,0.003,0,0,0,UNKNOWN,0
37904,-0.01,1.97,0.07,0.259,0.336,-0.394,-1.14,1.47,0.84,0.008,0.004,-0.001,0,0,UNKNOWN,0
37949,-0.01,1.97,0.07,0.259,0.336,-0.394,-1.15,1.48,0.8,0.005,0.004,-0.001,0,0,UNKNOWN,0
37964,-0.01,1.97,0.07,0.259,0.336,-0.394,-1.15,1.52,0.84,0.012,0.004,-0.001,0,0,UNKNOWN,0
38009,-0.05,1.95,0.1,0.257,0.336,-0.393,-1.12,1.48,0.83,0.007,0.004,0.002,0,0,UNKNOWN,0
38024,-0.05,1.95,0.1,0.257,0.336,-0.393,-1.16,1.51,0.73,0.013,0.004,0,0,0,UNKNOWN,0
38069,-0.05,1.95,0.1,0.257,0.336,-0.393,-1.16,1.48,0.79,0.013,0.005,-0.002,0,0,UNKNOWN,0
38084,-0.05,1.95,0.1,0.257,0.336,-0.393,-1.16,1.48,0.7,0.01,0.005,0.002,0,0,UNKNOWN,0
38129,-0.02,1.97,0.09,0.252,0.338,-0.394,-1.15,1.47,0.7,0.011,0.002,-0.002,0,0,UNKNOWN,0
38144,-0.02,1.97,0.09,0.252,0.338,-0.394,-1.18,1.46,0.78,0.002,0.004,0.001,0,0,UNKNOWN,0
38189,-0.02,1.97,0.09,0.252,0.338,-0.394,-1.13,1.48,0.76,0.005,0.004,-0.001,0,0,UNKNOWN,0
38204,-0.02,1.97,0.09,0.252,0.338,-0.394,-1.16,1.47,0.79,0.008,0.006,0,0,0,UNKNOWN,0
38249,-0.04,1.97,0.08,0.257,0.339,-0.393,-1.15,1.47,0.78,0.007,0.003,0.002,0,0,UNKNOWN,0
38264,-0.04,1.97,0.08,0.257,0.339,-0.393,-1.14,1.48,0.81,0.01,0.006,0.001,0,0,UNKNOWN,0
38309,-0.04,1.97,0.08,0.257,0.339,-0.393,-1.13,1.45,0.8,0.007,0.005,0.001,0,0,UNKNOWN,0
38324,-0.04,1.97,0.08,0.257,0.339,-0.393,-1.16,1.48,0.78,0.011,0.005,0.002,0,0,UNKNOWN,0
38369,-0.04,1.98,0.07,0.258,0.339,-0.393,-1.16,1.49,0.8,0.012,0.005,0,0,0,UNKNOWN,0
38384,-0.04,1.98,0.07,0.258,0.339,-0.393,-1.18,1.48,0.74,0.009,0.003,0,0,0,UNKNOWN,0
38429,-0.03,1.99,0.09,0.256,0.337,-0.394,-1.18,1.49,0.75,0.011,0.002,-0.003,0,0,UNKNOWN,0
38489,-0.03,1.99,0.09,0.256,0.337,-0.394,-1.18,1.49,0.73,0.007,0.006,0.001,0,0,UNKNOWN,0
38504,-0.03,1.99,0.09,0.256,0.337,-0.394,-1.15,1.48,0.83,0.006,0.006,-0.001,0,0,UNKNOWN,0
38549,-0.02,1.94,0.12,0.257,0.337,-0.394,-1.17,1.49,0.79,0.003,0.005,0.002,0,0,UNKNOWN,0
38564,-0.02,1.94,0.12,0.257,0.337,-0.394,-1.16,1.46,0.81,0.012,0.008,0.001,0,0,UNKNOWN,0
38609,-0.02,1.94,0.12,0.257,0.337,-0.394,-1.14,1.45,0.78,0.008,0.004,0.002,0,0,UNKNOWN,0
38624,-0.02,1.94,0.12,0.257,0.337,-0.394,-1.13,1.44,0.78,0.01,0.013,0.001,0,0,UNKNOWN,0
38669,-0.06,1.91,0.01,0.259,0.341,-0.394,-1.17,1.44,0.74,0.008,0.004,-0.001,0,0,UNKNOWN,0
38684,-0.06,1.91,0.01,0.259,0.341,-0.394,-1.15,1.5,0.79,0.006,0.006,0,0,0,UNKNOWN,0
38729,-0.06,1.91,0.01,0.259,0.341,-0.394,-1.16,1.52,0.79,0.008,0.006,-0.001,0,0,UNKNOWN,0
38789,0.01,1.99,0.1,0.256,0.336,-0.393,-1.16,1.5,0.78,0.008,0.003,0,0,0,UNKNOWN,0
38804,0.01,1.99,0.1,0.256,0.336,-0.393,-1.16,1.47,0.79,0.008,0.007,0,0,0,UNKNOWN,0
38849,0.01,1.99,0.1,0.256,0.336,-0.393,-1.17,1.51,0.77,0.01,0.003,0.001,0,0,UNKNOWN,0
38864,0.01,1.99,0.1,0.256,0.336,-0.393,-1.19,1.49,0.75,0.006,0.004,0.003,0,0,UNKNOWN,0
38909,-0.01,1.96,0.08,0.26,0.337,-0.393,-1.19,1.51,0.75,0.008,0.004,-0.002,0,0,UNKNOWN,0
38924,-0.01,1.96,0.08,0.26,0.337,-0.393,-1.17,1.5,0.81,0.002,0.006,0.003,0,0,UNKNOWN,0
38969,-0.01,1.96,0.08,0.26,0.337,-0.393,-1.12,1.5,0.78,0.002,0.008,0.002,0,0,UNKNOWN,0
38984,-0.01,1.96,0.08,0.26,0.337,-0.393,-1.16,1.47,0.85,0.011,0.002,0,0,0,UNKNOWN,0
39029,-0.01,1.96,0.08,0.257,0.338,-0.394,-1.16,1.46,0.77,0.008,0.005,0.001,0,0,UNKNOWN,0
39044,-0.01,1.96,0.08,0.257,0.338,-0.394,-1.16,1.49,0.75,0.005,0.005,-0.002,0,0,UNKNOWN,0
39089,-0.01,1.96,0.08,0.257,0.338,-0.394,-1.11,1.48,0.82,0.006,0.008,0.003,0,0,UNKNOWN,0
39104,-0.01,1.96,0.08,0.257,0.338,-0.394,-1.16,1.49,0.73,0.013,-0.001,-0.001,0,0,UNKNOWN,0
39149,0.04,1.95,0.22,0.255,0.342,-0.394,-1.14,1.48,0.76,0.012,0.002,0.001,0,0,UNKNOWN,0
39164,0.04,1.95,0.22,0.255,0.342,-0.394,-1.14,1.5,0.74,0.003,0.005,0.003,0,0,UNKNOWN,0
39209,0.04,1.95,0.22,0.255,0.342,-0.394,-1.14,1.47,0.77,0.005,0.005,0.001,0,0,UNKNOWN,0
39224,0.04,1.95,0.22,0.255,0.342,-0.394,-1.14,1.5,0.81,0.009,0.003,-0.001,0,0,UNKNOWN,0
39269,-0.01,1.98,0.09,0.257,0.337,-0.394,-1.15,1.5,0.79,0.007,0.006,-0.001,0,0,UNKNOWN,0
39284,-0.01,1.98,0.09,0.257,0.337,-0.394,-1.14,1.48,0.79,0.008,0.005,-0.001,0,0,UNKNOWN,0
39329,-0.01,1.98,0.09,0.257,0.337,-0.394,-1.15,1.47,0.82,0.006,0.006,0.001,0,0,UNKNOWN,0
39344,-0.01,1.98,0.09,0.257,0.337,-0.394,-1.15,1.49,0.74,0.012,0.004,-0.001,0,0,UNKNOWN,0
39389,0,1.95,0.04,0.255,0.337,-0.394,-1.17,1.51,0.74,0.015,0.003,0,0,0,UNKNOWN,0
39404,0,1.95,0.04,0.255,0.337,-0.394,-1.16,1.48,0.76,0.005,0.006,0.003,0,0,UNKNOWN,0
39449,0,1.95,0.04,0.255,0.337,-0.394,-1.13,1.49,0.75,0.003,0.006,0,0,0,UNKNOWN,0
39464,0,1.95,0.04,0.255,0.337,-0.394,-1.16,1.47,0.8,0.007,0.005,0.002,0,0,UNKNOWN,0
39509,-0.02,1.96,0.08,0.256,0.336,-0.394,-1.19,1.49,0.78,0.009,0.004,-0.002,0,0,UNKNOWN,0
39524,-0.02,1.96,0.08,0.256,0.336,-0.394,-1.13,1.46,0.79,0.007,0.006,0.002,0,0,UNKNOWN,0
39629,-0.03,1.97,0.07,0.26,0.336,-0.393,-1.18,1.47,0.76,0.013,0.003,-0.001,0,0,UNKNOWN,0
39644,-0.03,1.97,0.07,0.26,0.336,-0.393,-1.14,1.47,0.74,0.004,0.008,0.002,0,0,UNKNOWN,0
39659,-0.03,1.97,0.07,0.26,0.336,-0.393,-1.14,1.5,0.8,0.008,0.005,-0.003,0,0,UNKNOWN,0
39749,-0.03,1.98,0.09,0.255,0.338,-0.393,-1.14,1.49,0.76,0.013,0.005,-0.001,0,0,UNKNOWN,0
39764,-0.03,1.98,0.09,0.255,0.338,-0.393,-1.17,1.49,0.74,0.007,0.004,0.002,0,0,UNKNOWN,0
39809,-0.03,2,0.1,0.256,0.336,-0.394,-1.16,1.48,0.75,0.008,0.004,-0.001,0,0,UNKNOWN,0
39824,-0.03,2,0.1,0.256,0.336,-0.394,-1.14,1.46,0.78,0.006,0.004,-0.001,0,0,UNKNOWN,0
39869,-0.03,2,0.1,0.256,0.336,-0.394,-1.18,1.49,0.74,0.01,0,0.001,0,0,UNKNOWN,0
39884,-0.03,2,0.1,0.256,0.336,-0.394,-1.15,1.48,0.78,0.005,0.008,0,0,0,UNKNOWN,0
39929,-0.02,1.96,0.06,0.255,0.337,-0.396,-1.15,1.46,0.79,0.001,0.006,0.002,0,0,UNKNOWN,0
39944,-0.02,1.96,0.06,0.255,0.337,-0.396,-1.12,1.48,0.83,0.008,0.006,0.001,0,0,UNKNOWN,0
39989,-0.02,1.96,0.06,0.255,0.337,-0.396,-1.11,1.49,0.83,0.01,0.004,0,0,0,UNKNOWN,0
40004,-0.02,1.96,0.06,0.255,0.337,-0.396,-1.15,1.46,0.74,0.013,0.004,0.001,0,0,UNKNOWN,0
40049,-0.04,1.97,0.08,0.256,0.337,-0.394,-1.15,1.48,0.77,0.01,0.006,-0.001,0,0,UNKNOWN,0
40064,-0.04,1.97,0.08,0.256,0.337,-0.394,-1.17,1.49,0.76,0.007,0.005,0.001,0,0,UNKNOWN,0
40109,-0.04,1.97,0.08,0.256,0.337,-0.394,-1.17,1.5,0.75,0.011,0.002,-0.002,0,0,UNKNOWN,0
40124,-0.04,1.97,0.08,0.256,0.337,-0.394,-1.18,1.49,0.73,0.005,0.005,0.001,0,0,UNKNOWN,0
40169,0,1.94,0.06,0.262,0.337,-0.392,-1.18,1.5,0.71,0.007,0.005,0,0,0,UNKNOWN,0
40184,0,1.94,0.06,0.262,0.337,-0.392,-1.14,1.5,0.83,0.001,0.005,0.001,0,0,UNKNOWN,0
40229,0,1.94,0.06,0.262,0.337,-0.392,-1.16,1.47,0.8,0.005,0.006,0.003,0,0,UNKNOWN,0
40244,0,1.94,0.06,0.262,0.337,-0.392,-1.12,1.51,0.79,0.012,0.005,0.001,0,0,UNKNOWN,0
40289,0,1.97,0.09,0.257,0.336,-0.393,-1.15,1.51,0.83,0.008,0.005,0,0,0,UNKNOWN,0
40304,0,1.97,0.09,0.257,0.336,-0.393,-1.15,1.49,0.72,0.011,0.006,0.001,0,0,UNKNOWN,0
40349,0,1.97,0.09,0.257,0.336,-0.393,-1.16,1.47,0.7,0.011,0.004,-0.003,0,0,UNKNOWN,0
40364,0,1.97,0.09,0.257,0.336,-0.393,-1.17,1.48,0.77,0.003,0.003,-0.001,0,0,UNKNOWN,0
40409,-0.02,1.98,0.14,0.256,0.337,-0.394,-1.14,1.5,0.72,0.005,0.006,0.001,0,0,UNKNOWN,0
40424,-0.02,1.98,0.14,0.256,0.337,-0.394,-1.15,1.48,0.82,0.007,0.004,-0.001,0,0,UNKNOWN,0
40529,-0.02,1.99,0.11,0.258,0.336,-0.394,-1.17,1.49,0.77,0.01,0.005,0.001,0,0,UNKNOWN,0
40544,-0.02,1.99,0.11,0.258,0.336,-0.394,-1.15,1.49,0.77,0.008,0.005,0.004,0,0,UNKNOWN,0
40559,-0.02,1.99,0.11,0.258,0.336,-0.394,-1.14,1.47,0.82,0.007,0.004,0,0,0,UNKNOWN,0
40589,-0.02,1.99,0.11,0.258,0.336,-0.394,-1.15,1.5,0.83,0.011,0.003,0,0,0,UNKNOWN,0
40604,-0.02,1.99,0.11,0.258,0.336,-0.394,-1.17,1.52,0.74,0.008,0.006,0,0,0,UNKNOWN,0
40649,-0.01,1.95,0.08,0.254,0.337,-0.395,-1.19,1.58,0.61,0.021,0.009,0,0,0,UNKNOWN,0
40664,-0.01,1.95,0.08,0.254,0.337,-0.395,-1.27,1.43,0.86,-0.016,-0.003,0,0,0,UNKNOWN,0
40709,-0.06,1.9,0.17,0.256,0.342,-0.394,-1.17,1.47,0.75,-0.018,0.015,0.01,0,0,UNKNOWN,0
40724,-0.06,1.9,0.17,0.256,0.342,-0.394,-1.04,1.42,1.11,0.001,0.005,0.001,0,0,UNKNOWN,0
40769,-0.06,1.9,0.17,0.256,0.342,-0.394,-1.14,1.51,0.96,-0.012,0.01,0.009,0,0,UNKNOWN,0
40829,0.01,1.96,0.05,0.26,0.337,-0.392,-1.11,1.45,0.91,0.015,-0.004,-0.005,0,0,UNKNOWN,0
40844,0.01,1.96,0.05,0.26,0.337,-0.392,-1.24,1.51,0.67,0.015,0.008,0.002,0,0,UNKNOWN,0
40889,0.01,1.96,0.05,0.26,0.337,-0.392,-1.11,1.47,0.71,0.013,0.005,-0.001,0,0,UNKNOWN,0
40904,0.01,1.96,0.05,0.26,0.337,-0.392,-1.18,1.51,0.77,0.001,0.002,0.002,0,0,UNKNOWN,0
40949,0,1.97,0.1,0.252,0.338,-0.393,-1.14,1.51,0.83,0.005,0.011,0.002,0,0,UNKNOWN,0
40964,0,1.97,0.1,0.252,0.338,-0.393,-1.17,1.52,0.76,0.012,-0.001,-0.003,0,0,UNKNOWN,0
41009,0,1.97,0.1,0.252,0.338,-0.393,-1.14,1.49,0.76,0.013,0.005,0.001,0,0,UNKNOWN,0
41024,0,1.97,0.1,0.252,0.338,-0.393,-1.11,1.47,0.72,0.006,0.004,-0.001,0,0,UNKNOWN,0
41069,-0.02,1.95,0.07,0.259,0.336,-0.394,-1.17,1.47,0.76,0.007,0.005,0.003,0,0,UNKNOWN,0
41084,-0.02,1.95,0.07,0.259,0.336,-0.394,-1.16,1.46,0.78,0.007,0.005,0.003,0,0,UNKNOWN,0
41129,-0.02,1.95,0.07,0.259,0.336,-0.394,-1.16,1.51,0.78,0.005,0.005,-0.002,0,0,UNKNOWN,0
41144,-0.02,1.95,0.07,0.259,0.336,-0.394,-1.17,1.49,0.81,0.007,0.007,0.001,0,0,UNKNOWN,0
41189,-0.03,1.96,0.07,0.254,0.337,-0.395,-1.16,1.49,0.81,0.006,0.006,0.001,0,0,UNKNOWN,0
41204,-0.03,1.96,0.07,0.254,0.337,-0.395,-1.14,1.5,0.83,0.009,0.006,-0.002,0,0,UNKNOWN,0
41249,-0.03,1.96,0.07,0.254,0.337,-0.395,-1.13,1.51,0.8,0.007,0.006,0.003,0,0,UNKNOWN,0
41264,-0.03,1.96,0.07,0.254,0.337,-0.395,-1.15,1.51,0.78,0.011,0.002,-0.003,0,0,UNKNOWN,0
41309,-0.01,1.96,0.09,0.257,0.336,-0.394,-1.15,1.5,0.78,0.013,0.003,0.001,0,0,UNKNOWN,0
41324,-0.01,1.96,0.09,0.257,0.336,-0.394,-1.16,1.48,0.74,0.008,0.005,0.002,0,0,UNKNOWN,0
41369,-0.01,1.96,0.09,0.257,0.336,-0.394,-1.17,1.46,0.73,0.007,0.005,0,0,0,UNKNOWN,0
41384,-0.01,1.96,0.09,0.257,0.336,-0.394,-1.16,1.49,0.77,0.005,0.007,0.003,0,0,UNKNOWN,0
